1242 4 2 0.0001 1.57207 0     0 3 0.631257 0.588033 3.60562 0 0 3 0.751909 0.694012 3.65215 0
513 4 3 0.0001 5.9741 0     0 3 4.70511 2.54603 4.21568 0 0 3 5.2279 2.70346 4.24353 0
513 4 3 0.0001 5.9741 0     0 3 4.70511 2.54603 4.21568 0 0 3 5.2279 2.70346 4.24353 0
626 4 2 0.0601 0.291634 0     0 2 0.030794 0.1 4.00661 0.00030794 0 3 31.1381 7.97558 4.58911 0
626 7 4 0.0601 0.291634 0     0 2 0.030794 0.1 4.00661 0.00030794 0 3 31.1381 7.97558 4.58911 0
626 7 4 0.0601 0 0     0 1 0 0.1 4.00661 0 0 3 31.1689 7.9798 4.5892 0
513 4 3 0.0001 5.9741 0     0 3 4.70511 2.54603 4.21568 0 0 3 5.2279 2.70346 4.24353 0
626 4 2 0.0601 0.291634 0     0 2 0.030794 0.1 4.00661 0.00030794 0 3 31.1381 7.97558 4.58911 0
626 7 4 0.0601 0.291634 0     0 2 0.030794 0.1 4.00661 0.00030794 0 3 31.1381 7.97558 4.58911 0
626 7 4 0.0601 0 0     0 1 0 0.1 4.00661 0 0 3 31.1689 7.9798 4.5892 0
1242 4 2 0.0001 1.57207 0     0 3 0.631257 0.588033 3.60562 0 0 3 0.751909 0.694012 3.65215 0
1242 4 2 0.0001 1.57207 0     0 3 0.631257 0.588033 3.60562 0 0 3 0.751909 0.694012 3.65215 0
1242 4 2 0.0001 1.57207 0     0 3 0.631257 0.588033 3.60562 0 0 3 0.751909 0.694012 3.65215 0
1242 4 2 0.0001 1.57207 0     0 3 0.631257 0.588033 3.60562 0 0 3 0.751909 0.694012 3.65215 0
1187 4 4 0.0001 0.501354 0     0 3 0.218395 0.24438 3.52621 0 0 3 0.40057 0.374165 3.56355 0
1251 4 2 0.0401 0.693928 0     0 3 0.152862 0.189668 3.49221 0 0 3 37.4024 8.96292 4.60843 0
1251 4 2 0.00891439 0.452715 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1613 17.0518 4.66814 0
1251 7 2 0.0111277 0.00710392 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1439 17.0518 4.66802 0
1251 7 2 0.0111277 0 0     0 3 0 0.299452 3.54917 0 0 3 98.4402 17.0859 4.66814 0
1251 4 2 0.00891439 0.452715 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1613 17.0518 4.66814 0
1251 7 2 0.0111277 0.00710392 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1439 17.0518 4.66802 0
1251 7 2 0.0111277 0 0     0 3 0 0.299452 3.54917 0 0 3 98.4402 17.0859 4.66814 0
1251 4 2 0.00891439 0.452715 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1613 17.0518 4.66814 0
1251 7 2 0.0111277 0.00710392 0     0 3 0.29635 0.299452 3.54917 0 0 3 98.1439 17.0518 4.66802 0
1251 7 2 0.0111277 0 0     0 3 0 0.299452 3.54917 0 0 3 98.4402 17.0859 4.66814 0
2172 3 2 0.0001 0.290252 0     0 2 0.010159 0.1 3.68875 0.00010159 0 2 0.0152445 0.1 3.80508 0.000152445
2376 4 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0 0     0 1 0 0.1 4.19296 0 0 3 0.203433 0.232951 3.51986 0
2172 3 2 0.0001 0.290252 0     0 2 0.010159 0.1 3.68875 0.00010159 0 2 0.0152445 0.1 3.80508 0.000152445
2376 4 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0 0     0 1 0 0.1 4.19296 0 0 3 0.203433 0.232951 3.51986 0
2172 3 2 0.0001 0.290252 0     0 2 0.010159 0.1 3.68875 0.00010159 0 2 0.0152445 0.1 3.80508 0.000152445
2376 4 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0.324571 0     0 2 0.0589938 0.1 4.19296 0.000589938 0 3 0.144439 0.181457 3.48651 0
2376 7 4 0.0001 0 0     0 1 0 0.1 4.19296 0 0 3 0.203433 0.232951 3.51986 0
2172 3 2 0.0001 0.290253 0     0 2 0.010159 0.1 3.68875 0.00010159 0 2 0.0152448 0.1 3.80509 0.000152448
2376 4 4 0.0001 0.324574 0     0 2 0.0589978 0.1 4.19298 0.000589978 0 3 0.14445 0.181468 3.48652 0
2376 7 4 0.0001 0.324574 0     0 2 0.0589978 0.1 4.19298 0.000589978 0 3 0.14445 0.181468 3.48652 0
2376 7 4 0.0001 0 0     0 1 0 0.1 4.19298 0 0 3 0.203448 0.232963 3.51987 0
2172 3 2 0.0001 0.290253 0     0 2 0.010159 0.1 3.68875 0.00010159 0 2 0.0152448 0.1 3.80509 0.000152448
2376 4 4 0.0001 0.324574 0     0 2 0.0589978 0.1 4.19298 0.000589978 0 3 0.14445 0.181468 3.48652 0
2376 7 4 0.0001 0.324574 0     0 2 0.0589978 0.1 4.19298 0.000589978 0 3 0.14445 0.181468 3.48652 0
2376 7 4 0.0001 0 0     0 1 0 0.1 4.19298 0 0 3 0.203448 0.232963 3.51987 0
